time,ID,USD
2019-06-28T18:00:04.000Z,1272183,1.5
2019-06-28T17:41:12.000Z,1206384,2.05
2019-06-28T17:41:02.000Z,1628599,0.92
2019-06-28T17:35:59.000Z,1110373,0.39
2019-06-28T17:33:38.000Z,1093770,0.4
2019-06-28T17:21:34.000Z,983090,0.42
2019-06-28T17:19:42.000Z,1272606,1.5
2019-06-28T17:12:22.000Z,1121859,0.42
2019-06-28T17:02:25.000Z,876513,2.46
2019-06-28T17:00:59.000Z,1109345,2.46
2019-06-28T17:00:41.000Z,1172008,2.5
2019-06-28T16:56:52.000Z,1043091,0.39
2019-06-28T16:50:28.000Z,1000115,0.39
2019-06-28T16:31:31.000Z,1037705,0.4
2019-06-28T16:06:03.000Z,1240542,0.31
2019-06-28T16:03:50.000Z,1217519,4.61
2019-06-28T16:01:44.000Z,1433959,0.39
2019-06-28T16:01:38.000Z,1625684,2.46
2019-06-28T15:51:42.000Z,1636204,6.78
2019-06-28T15:51:31.000Z,1636155,7.77
2019-06-28T15:29:58.000Z,1630482,2.77
2019-06-28T15:22:08.000Z,1305937,1.51
2019-06-28T15:20:10.000Z,1291093,1.51
2019-06-28T15:15:57.000Z,1046523,0.51
2019-06-28T15:05:50.000Z,1521656,0.61
2019-06-28T15:05:18.000Z,1524725,0.61
2019-06-28T15:05:18.000Z,1562583,2.76
2019-06-28T15:03:22.000Z,1093784,0.38
2019-06-28T15:02:14.000Z,1117440,0.38
2019-06-28T15:01:33.000Z,1333537,0.4
2019-06-28T14:46:17.000Z,1292716,1.5
2019-06-28T14:46:17.000Z,1292596,1.5
2019-06-28T14:43:12.000Z,1024453,2.46
2019-06-28T14:40:45.000Z,1031896,3.07
2019-06-28T14:39:22.000Z,1435444,2.76
2019-06-28T14:37:02.000Z,1260396,2.15
2019-06-28T14:25:28.000Z,1284948,1.5
2019-06-28T14:23:10.000Z,823699,21.74
2019-06-28T14:14:53.000Z,1613313,2.45
2019-06-28T14:07:01.000Z,1630943,2.44
2019-06-28T13:55:15.000Z,1306241,1.5
2019-06-28T13:50:11.000Z,1622371,5.4
2019-06-28T13:49:00.000Z,1628998,2.74
2019-06-28T13:48:18.000Z,909748,5.48
2019-06-28T13:46:56.000Z,1584881,0.91
2019-06-28T13:46:47.000Z,1584922,0.91
2019-06-28T13:38:40.000Z,1063267,0.37
2019-06-28T13:38:16.000Z,1132371,0.37
2019-06-28T13:35:42.000Z,1353713,0.36
2019-06-28T13:35:05.000Z,1467898,0.36
2019-06-28T13:33:28.000Z,1163436,5.44
2019-06-28T13:27:26.000Z,1043096,0.37
2019-06-28T13:06:08.000Z,1606501,1.52
2019-06-28T12:59:01.000Z,1186216,4.65
2019-06-28T12:51:27.000Z,1292805,1.49
2019-06-28T12:50:48.000Z,993813,0.39
2019-06-28T12:49:53.000Z,1113524,0.38
2019-06-28T12:49:20.000Z,1000122,0.36
2019-06-28T12:33:28.000Z,1470427,17.77
2019-06-28T12:28:38.000Z,1562758,3.98
2019-06-28T12:25:59.000Z,1452796,11.59
2019-06-28T12:13:27.000Z,1000119,0.39
2019-06-28T12:13:27.000Z,1500130,0.36
2019-06-28T12:13:27.000Z,1292695,1.5
2019-06-28T12:09:21.000Z,1081702,0.36
2019-06-28T12:08:49.000Z,612258,1.48
2019-06-28T12:07:45.000Z,1272086,1.51
2019-06-28T12:06:47.000Z,1316918,1.51
2019-06-28T12:06:26.000Z,1293073,1.51
2019-06-28T12:03:36.000Z,1631362,0.34
2019-06-28T11:45:49.000Z,1293217,1.51
2019-06-28T11:43:47.000Z,1171411,6.46
2019-06-28T11:37:43.000Z,983198,0.39
2019-06-28T11:33:12.000Z,1295993,2.76
2019-06-28T11:33:12.000Z,1618840,2.76
2019-06-28T11:16:51.000Z,1100187,0.39
2019-06-28T11:06:15.000Z,1306017,1.51
2019-06-28T10:58:49.000Z,1291083,1.5
2019-06-28T10:55:34.000Z,1363167,0.39
2019-06-28T10:52:32.000Z,1627634,58.69
2019-06-28T10:38:08.000Z,1132396,0.4
2019-06-28T10:29:28.000Z,993812,0.42
2019-06-28T10:27:07.000Z,1271791,1.51
2019-06-28T10:26:20.000Z,1540082,1.42
2019-06-28T10:08:01.000Z,924917,2.79
2019-06-28T10:08:01.000Z,1551601,2.79
2019-06-28T09:52:06.000Z,1591924,2.48
2019-06-28T09:51:02.000Z,1473868,3.41
2019-06-28T09:37:07.000Z,1272520,1.51
2019-06-28T09:35:15.000Z,1634160,0.58
2019-06-28T09:34:18.000Z,1038760,0.54
2019-06-28T09:29:26.000Z,634153,1.45
2019-06-28T09:26:00.000Z,983177,0.39
2019-06-28T09:25:48.000Z,993823,0.39
2019-06-28T09:12:11.000Z,1620420,2.76
2019-06-28T09:06:56.000Z,1532966,2.71
2019-06-28T09:03:48.000Z,1043097,0.37
2019-06-28T09:03:48.000Z,1608744,1.53
2019-06-28T09:01:34.000Z,1433132,0.39
2019-06-28T08:59:49.000Z,1245635,0.92
2019-06-28T08:59:49.000Z,1368225,0.92
2019-06-28T08:59:04.000Z,1616822,3.66
2019-06-28T08:58:18.000Z,1138866,0.4
2019-06-28T08:57:56.000Z,1620183,3.53
2019-06-28T08:57:52.000Z,1100444,0.37
2019-06-28T08:57:03.000Z,1291092,1.5
2019-06-28T08:46:44.000Z,1524856,5.47
2019-06-28T08:34:10.000Z,1362630,12.78
2019-06-28T08:22:15.000Z,1635535,1.43
2019-06-28T08:14:35.000Z,1306389,30.16
2019-06-28T08:11:50.000Z,1453084,30.16
2019-06-28T08:10:14.000Z,1453258,2.17
2019-06-28T08:08:50.000Z,1581469,0.35
2019-06-28T07:57:47.000Z,1197560,3.6
2019-06-28T07:54:31.000Z,1583054,0.63
2019-06-28T07:53:21.000Z,1636027,30.09
2019-06-28T07:49:51.000Z,1129067,0.49
2019-06-28T07:49:48.000Z,1616472,4.46
2019-06-28T07:48:28.000Z,1135842,0.61
2019-06-28T07:45:36.000Z,1582916,0.46
2019-06-28T07:45:28.000Z,1558712,30.14
2019-06-28T07:32:31.000Z,1622176,30.42
2019-06-28T07:17:13.000Z,1196431,0.36
2019-06-28T07:05:30.000Z,1580528,3.57
2019-06-28T06:50:14.000Z,1541722,2.4
2019-06-28T06:38:33.000Z,1126764,1.35
2019-06-28T06:33:11.000Z,1585275,0.38
2019-06-28T06:30:34.000Z,1510374,1.52
2019-06-28T05:54:56.000Z,1472078,2.68
2019-06-28T05:47:11.000Z,1593119,2.67
2019-06-28T05:35:55.000Z,1043124,0.38
2019-06-28T05:23:28.000Z,628059,1.79
2019-06-28T05:22:58.000Z,496446,1.79
2019-06-28T04:51:44.000Z,825360,3.29
2019-06-28T04:50:30.000Z,1624158,3.88
2019-06-28T04:39:45.000Z,1628831,0.44
2019-06-28T04:39:45.000Z,1113479,0.47
2019-06-28T04:36:59.000Z,942776,2.64
2019-06-28T04:21:55.000Z,1196066,2.69
2019-06-28T04:20:27.000Z,1093847,0.4
2019-06-28T04:17:39.000Z,1413293,0.37
2019-06-28T04:06:20.000Z,745897,2.44
2019-06-28T04:06:20.000Z,1627319,0.9
2019-06-28T03:55:21.000Z,1634612,2.55
2019-06-28T03:54:07.000Z,1246283,1.47
2019-06-28T03:51:02.000Z,1326919,1.57
2019-06-28T03:36:45.000Z,1489117,0.6
2019-06-28T03:35:51.000Z,1045318,0.56
2019-06-28T03:35:39.000Z,1107891,0.57
2019-06-28T03:31:13.000Z,1582932,0.49
2019-06-28T03:31:13.000Z,1139318,7.55
2019-06-28T03:22:20.000Z,1033656,0.56
2019-06-28T03:22:10.000Z,1544239,8.9
2019-06-28T03:22:10.000Z,1548297,7.71
2019-06-28T03:16:19.000Z,1622478,11.87
2019-06-28T03:16:16.000Z,1633767,11.87
2019-06-28T03:16:16.000Z,1051178,2.97
2019-06-28T03:15:18.000Z,1040477,2.67
2019-06-28T03:14:19.000Z,1632418,2.38
2019-06-28T03:13:55.000Z,1079905,0.47
