date,open,high,low,close,volume,marketcap
2019-04-23,172.01,176.85,170.9,171.45,7097827092,18136462572
2019-04-22,170.02,173.07,168.73,171.87,6094878077,18179292263
2019-04-21,173.72,174.42,167.43,170.05,6005571688,17983602095
2019-04-20,173.72,176.71,171.79,173.75,6142567812,18373023202
2019-04-19,173.79,173.98,170.62,173.71,6541053061,18366130180
2019-04-18,166.91,175.37,166.67,173.81,6971581464,18374913022
2019-04-17,167.55,168.94,165.5,166.95,5596102715,17647086048
2019-04-16,161.53,167.67,160.89,167.62,5180105341,17715913572
2019-04-15,167.9,168.82,159.56,161.57,5672311824,17074367783
2019-04-14,164.48,168.59,162.78,167.84,4846298303,17734050269
2019-04-13,164.62,166.36,163.01,164.51,4959301561,17380468169
2019-04-12,165.34,166.13,161.03,164.74,6237185309,17401765647
2019-04-11,177.34,177.49,162.32,165.5,7859383417,17479876008
2019-04-10,176.07,183.13,175.23,177.34,7856924879,18728058767
2019-04-09,180.22,180.25,175.09,176.11,7632529578,18596496042
2019-04-08,174.45,184.38,174.16,180.26,9304964610,19031640376
2019-04-07,165.98,175.21,164.93,174.53,7596176020,18424576820
2019-04-06,165.51,172.52,161.8,165.95,7167016221,17516082778
2019-04-05,158.02,167.22,157.44,165.51,7531316908,17468192986
2019-04-04,161.43,164.93,155.24,158.05,7953123529,16678477300
2019-04-03,164.01,178.32,157.32,161.46,10622456246,17035703564
2019-04-02,141.84,165.23,141.64,163.96,9826645698,17297572365
2019-04-01,141.47,142.73,140.74,141.83,4611999536,14960828861
2019-03-31,142.14,142.19,140.7,141.51,4249050197,14925533137
2019-03-30,142.36,149.61,141.03,142.09,5144662127,14984615423
2019-03-29,139.34,142.55,138.05,142.5,5125602702,15025361637
2019-03-28,141.01,141.01,138.43,139.42,4163212475,14698609599
2019-03-27,135.45,141.08,135.34,140.99,5228240093,14862394451
2019-03-26,135.05,135.46,133.76,135.46,4499271679,14277816266
2019-03-25,137.08,137.7,133.49,135.03,4480516753,14230733149
2019-03-24,138.32,138.38,136.31,136.99,4266845458,14434995337
2019-03-23,137.04,139.39,136.91,138.24,4436568613,14565143357
2019-03-22,136.56,138.79,136.23,137.18,4490899266,14451740115
2019-03-21,140.48,141.0,135.86,136.64,5087247796,14392427839
2019-03-20,140.48,140.95,138.31,140.69,4664134462,14817151375
2019-03-19,139.25,140.99,139.14,140.52,4251488129,14797612389
2019-03-18,140.1,142.27,138.84,139.37,4551739879,14675181094
2019-03-17,142.24,142.37,139.32,140.0,3827157729,14739201597
2019-03-16,137.91,144.56,137.91,142.4,4839003569,14989691491
2019-03-15,133.57,138.4,133.57,137.69,4506861856,14492364551
2019-03-14,133.2,135.18,132.75,133.71,4476532147,14071628064
2019-03-13,134.61,134.61,132.72,133.26,4265162099,14022610219
2019-03-12,134.01,135.27,130.94,134.44,4709988000,14144929392
2019-03-11,136.85,137.35,133.1,133.83,4689807419,14079044648
2019-03-10,138.18,138.27,135.69,136.76,4578438499,14384860876
2019-03-09,134.89,139.12,134.68,137.97,5011918715,14509873018
2019-03-08,138.31,139.5,133.56,135.13,4678816794,14209542041
2019-03-07,138.94,140.86,137.27,138.03,4339206292,14513398954
2019-03-06,137.96,139.97,136.15,138.79,4589054219,14590867639
2019-03-05,127.79,138.23,126.74,137.82,4764849990,14492117352
2019-03-04,132.16,132.73,125.4,127.77,4008171341,13432896659
2019-03-03,134.79,135.85,131.33,132.25,3454374053,13900679027
2019-03-02,136.35,137.18,132.44,134.21,3747176425,14103698392
2019-03-01,136.84,139.0,136.43,136.44,3756124824,14335957425
2019-02-28,136.28,138.85,135.66,136.75,4535438953,14365118213
2019-02-27,138.03,141.34,131.6,136.13,4469776860,14298070644
2019-02-26,139.65,139.98,136.58,138.09,3791292839,14502464167
2019-02-25,135.5,142.53,135.48,139.82,4914392068,14682597926
2019-02-24,158.9,165.55,135.85,135.85,5957715043,14263873721
2019-02-23,148.68,159.13,147.33,158.8,4519468458,16670632412
2019-02-22,146.07,149.27,145.21,149.09,3731099284,15649961167
2019-02-21,149.35,149.35,144.56,146.13,3995766856,15337145738
2019-02-20,145.17,149.55,142.5,149.55,4500094965,15694462393
2019-02-19,146.4,149.93,145.13,145.35,5310842625,15250901019
2019-02-18,133.03,147.69,133.0,146.1,5387525773,15327852479
2019-02-17,123.18,134.46,123.09,133.6,4236081130,14014695490
2019-02-16,122.4,124.13,122.3,123.26,2905833287,12928550184
2019-02-15,121.45,123.66,121.37,122.1,3021741615,12805280766
2019-02-14,122.42,124.45,121.33,121.39,3331701628,12729213675
2019-02-13,122.54,125.55,121.61,122.55,3386585799,12849605819
2019-02-12,121.18,123.47,119.6,122.57,3149576429,12849965121
2019-02-11,124.87,124.87,120.31,121.3,3222473887,12714795026
2019-02-10,119.41,124.85,117.11,124.81,3148766590,13080881910
2019-02-09,119.21,120.69,118.0,119.43,2884650400,12515870173
2019-02-08,104.65,119.81,104.19,119.27,3656841347,12496945336
2019-02-07,104.84,106.06,104.41,104.54,2326764622,10951652648
2019-02-06,107.57,107.57,102.93,104.92,2593048199,10990266833
2019-02-05,107.63,108.13,106.91,107.44,2515863999,11253035388
2019-02-04,107.63,108.7,107.07,107.82,2491888675,11290969364
2019-02-03,110.49,110.83,106.56,107.49,2519334757,11254870706
2019-02-02,107.47,110.65,106.76,110.43,2385157838,11560765573
2019-02-01,107.15,108.64,105.05,107.61,2541271519,11263815610
2019-01-31,108.9,110.46,106.53,107.06,2828796031,11204735502
2019-01-30,105.41,109.45,104.84,108.91,2874370355,11396282341
2019-01-29,106.72,107.17,104.0,105.6,2900418606,11048347342
2019-01-28,113.29,113.69,103.34,106.59,3366895505,11150461958
2019-01-27,116.51,116.69,113.41,113.41,2775888287,11861671822
2019-01-26,116.37,118.08,115.98,116.49,2412181169,12182338148
2019-01-25,117.59,117.8,115.83,116.38,2606881898,12168932300
2019-01-24,117.46,118.03,116.01,117.36,2520843420,12269992351
2019-01-23,118.71,119.42,116.38,117.45,2556952198,12277481872
2019-01-22,117.11,119.66,114.68,118.75,2552507405,12410972241
2019-01-21,119.64,119.72,116.16,117.16,2421720343,12242940197
2019-01-20,124.63,125.07,118.7,119.47,2964108269,12483136112
2019-01-19,121.61,125.9,121.16,124.52,3048261797,13007954846
2019-01-18,123.65,123.84,120.24,121.01,2305389800,12639234713
2019-01-17,123.57,124.27,120.82,123.74,2594091285,12922347330
2019-01-16,121.81,127.12,121.44,123.55,2746469340,12899812275
2019-01-15,129.17,130.74,120.31,122.03,2735449164,12739543688
2019-01-14,116.98,130.86,116.97,129.07,2798085735,13471754802
2019-01-13,125.91,126.27,116.09,116.9,2268263944,12199288487
2019-01-12,127.53,128.67,125.45,125.97,2212109224,13143426379
2019-01-11,127.81,130.17,125.24,127.55,2667585234,13306214134
2019-01-10,150.84,152.15,126.53,128.63,3397734456,13416263931
2019-01-09,150.55,153.62,150.29,150.8,2369241197,15726845711
2019-01-08,151.97,153.63,148.67,150.36,2459808140,15677889902
2019-01-07,157.81,158.45,151.15,151.7,2712108388,15814868678
2019-01-06,155.8,159.37,152.09,157.75,3231294371,16442429109
2019-01-05,154.34,160.82,154.34,155.64,3338211928,16219974745
2019-01-04,148.91,156.88,147.91,154.58,3126192535,16107068093
2019-01-03,155.2,155.86,147.2,149.14,2676164880,15536849936
2019-01-02,141.52,156.93,140.65,155.05,3328240369,16150049902
2019-01-01,133.42,141.4,132.65,140.82,2258709868,14665318370
2018-12-31,140.03,140.18,132.52,133.37,2358360234,13886837730
2018-12-30,137.63,140.69,133.98,139.86,2660086834,14560066114
2018-12-29,138.47,147.03,134.57,138.02,3169029972,14365797196
2018-12-28,116.9,137.65,115.69,137.65,3130201009,14324511544
2018-12-27,131.92,132.68,115.65,116.58,2612804378,12129493222
2018-12-26,129.89,136.68,126.29,131.87,2720469126,13717858346
2018-12-25,141.0,141.0,125.11,129.84,3298280609,13505089290
2018-12-24,130.64,157.67,130.64,140.24,4370343387,14583457939
2018-12-23,117.27,133.08,117.27,130.77,3579715061,13595887732
2018-12-22,109.46,116.76,107.5,116.76,2338772939,12137481655
2018-12-21,115.84,119.09,107.58,109.5,2632539990,11380357569
2018-12-20,101.09,117.17,100.64,116.22,3063842618,12076674310
2018-12-19,101.68,108.55,100.69,101.27,2456482115,10521416481
2018-12-18,95.11,101.32,92.97,101.11,2277514076,10503295749
2018-12-17,85.38,96.81,85.38,95.13,2101453024,9880456239
2018-12-16,84.47,87.57,84.47,85.26,1565817037,8853567311
2018-12-15,84.28,85.34,82.83,84.44,1496176898,8766638124
2018-12-14,86.63,87.14,83.23,84.31,1651491877,8751209554
2018-12-13,90.66,91.11,85.52,86.54,1754475622,8981108543
2018-12-12,88.61,92.24,88.26,90.59,1533050103,9400044026
2018-12-11,91.58,92.78,87.69,88.95,1707497898,9227301064
2018-12-10,94.99,96.26,90.65,91.69,1756437577,9509816315
2018-12-09,92.04,98.9,91.03,95.14,1875567180,9866414732
2018-12-08,93.41,97.06,86.83,92.16,1855759401,9555327946
2018-12-07,91.65,96.09,83.47,93.29,2554304530,9671177427
2018-12-06,102.45,104.1,91.76,91.76,2310716932,9510417097
2018-12-05,110.34,110.6,102.48,102.48,1990157607,10618884099
2018-12-04,108.8,113.14,107.4,110.21,1748116495,11418617063
2018-12-03,116.38,116.62,107.42,108.93,1772756193,11282911404
2018-12-02,118.27,120.56,116.09,116.39,1856199149,12053770487
2018-12-01,113.4,120.84,111.62,118.64,2131475768,12284117522
2018-11-30,117.73,119.42,111.74,113.17,2020748396,11716096076
2018-11-29,122.72,123.23,115.3,117.54,2196099151,12166285642
2018-11-28,110.2,126.05,110.2,122.44,2673470000,12670491119
2018-11-27,107.91,111.84,102.45,110.01,2320010000,11382216773
2018-11-26,116.34,118.2,104.89,108.33,2139490000,11206775318
2018-11-25,113.13,118.88,101.77,116.45,2466750000,12043900588
2018-11-24,123.3,126.79,110.83,113.49,1800960000,11735901799
2018-11-23,126.42,127.03,119.56,123.3,1998010000,12747016419
2018-11-22,136.81,137.74,126.71,126.71,1792150000,13097009562
2018-11-21,131.14,138.89,125.76,136.7,2685930000,14127420909
2018-11-20,148.81,151.25,126.36,130.34,3134410000,13467303239
2018-11-19,177.18,177.18,147.85,149.18,2745160000,15410551811
2018-11-18,174.18,179.15,174.18,177.07,1810920000,18288411984
2018-11-17,175.36,175.85,172.87,174.0,1832800000,17968221715
2018-11-16,180.87,181.35,173.13,175.18,2015330000,18086156169
2018-11-15,181.9,184.25,170.19,180.81,2638410000,18663659629
2018-11-14,206.53,207.04,174.08,181.4,2595330000,18721032761
2018-11-13,210.15,210.51,206.13,206.83,1610260000,21341261802
2018-11-12,211.51,212.62,208.92,210.42,1452380000,21707637540
2018-11-11,212.48,213.0,208.87,211.34,1501600000,21798464881
2018-11-10,209.97,213.86,209.81,212.53,1377760000,21917195708
2018-11-09,211.99,213.32,209.51,210.07,1554750000,21659329261
2018-11-08,217.33,218.34,212.2,212.23,1769080000,21877424057
2018-11-07,218.9,221.65,216.8,217.18,1927830000,22383497662
2018-11-06,209.47,218.45,207.89,218.45,1856940000,22445690692
2018-11-05,207.1,210.82,206.57,209.09,1613510000,21540996877
2018-11-04,200.16,211.27,198.99,207.49,1749300000,21371416840
2018-11-03,200.74,200.74,199.53,200.19,1307150000,20615439151
2018-11-02,198.98,201.27,198.75,200.63,1451870000,20657629735
2018-11-01,197.54,203.75,197.33,198.87,1336700000,20472105764
2018-10-31,197.65,198.34,196.53,197.38,1442380000,20314628127
2018-10-30,197.2,198.12,196.35,197.56,1363500000,20328580026
2018-10-29,205.17,205.6,195.73,197.25,1517230000,20292811278
2018-10-28,204.51,205.92,203.52,205.37,1139140000,21123907349
2018-10-27,203.36,206.08,203.13,204.21,1084810000,21000852987
2018-10-26,202.34,204.78,201.55,203.33,1161310000,20906130835
2018-10-25,203.87,204.13,201.82,202.72,1102900000,20839259066
2018-10-24,204.13,205.58,203.35,203.85,1102220000,20951603018
2018-10-23,204.02,205.15,201.91,204.34,1237490000,20997181867
2018-10-22,205.17,206.93,203.38,204.04,1328980000,20962977292
2018-10-21,205.39,208.16,204.62,205.14,1190300000,21071630786
2018-10-20,203.51,206.22,203.09,205.43,1238780000,21097037289
2018-10-19,203.26,204.66,201.84,203.73,1264480000,20917973393
2018-10-18,207.4,208.47,201.74,203.35,1365860000,20875341345
2018-10-17,210.22,211.13,205.93,207.08,1444130000,21254117736
2018-10-16,209.63,212.17,207.98,210.12,1532280000,21561538445
2018-10-15,195.27,222.12,194.16,209.7,2865830000,21514574462
2018-10-14,199.69,201.83,195.24,195.72,1169260000,20075397007
2018-10-13,196.36,201.28,196.36,199.84,1167610000,20494529773
2018-10-12,188.71,199.4,188.71,196.73,1487900000,20171157774
2018-10-11,225.61,225.61,189.28,189.5,2167620000,19426181717
2018-10-10,227.62,227.71,224.5,225.77,1384040000,23139713070
2018-10-09,229.71,230.16,226.4,227.98,1405130000,23361891401
2018-10-08,226.51,230.76,224.56,229.25,1470740000,23487673000
2018-10-07,225.44,226.37,223.0,226.12,1470480000,23161767973
2018-10-06,227.55,227.93,224.25,225.12,1505070000,23054817089
2018-10-05,222.27,228.32,220.96,227.6,1547330000,23304234601
2018-10-04,220.45,226.15,220.09,222.22,1479500000,22748580859
2018-10-03,226.41,226.46,213.97,220.49,1683930000,22567089086
2018-10-02,231.1,231.17,225.84,227.18,1542080000,23247403474
2018-10-01,233.22,234.15,226.94,230.77,1597500000,23609728018
2018-09-30,231.33,236.99,228.44,232.85,1765560000,23817805502
2018-09-29,221.71,234.01,216.08,231.63,2208720000,23688983896
2018-09-28,229.04,231.75,218.67,222.4,2018120000,22740233568
2018-09-27,215.44,230.61,212.65,228.49,2030320000,23358464739
2018-09-26,218.65,221.44,209.11,215.85,1756100000,22061164303
2018-09-25,228.33,228.33,206.49,218.5,2120360000,22328327983
2018-09-24,244.84,245.11,227.49,228.73,1748740000,23368514475
2018-09-23,240.99,247.46,237.86,244.33,1693470000,24957339670
2018-09-22,247.34,251.2,233.81,240.48,1921820000,24559189741
2018-09-21,225.25,248.39,221.57,246.58,2836200000,25177561991
2018-09-20,210.29,224.82,207.79,224.59,1782070000,22927300808
2018-09-19,209.47,213.87,201.66,209.97,1733330000,21430323331
2018-09-18,197.09,213.36,195.93,209.97,1800640000,21426628309
2018-09-17,221.58,224.26,195.31,197.88,2019910000,20187902505
2018-09-16,222.8,222.8,211.12,220.59,1502260000,22500748646
2018-09-15,209.81,226.6,209.61,223.07,1670490000,22749647321
2018-09-14,212.67,222.79,204.87,211.75,2232190000,21590366996
2018-09-13,183.68,214.0,183.68,211.35,2330720000,21545775837
2018-09-12,185.42,185.59,170.26,183.33,1874850000,18685319378
2018-09-11,198.18,198.51,180.6,185.07,1568900000,18858381966
2018-09-10,197.85,201.88,189.58,197.08,1502960000,20078523984
2018-09-09,198.38,207.67,188.31,196.92,1585980000,20058708800
2018-09-08,217.91,220.37,193.26,197.95,1517200000,20159309964
2018-09-07,229.53,233.9,217.07,217.2,1678260000,22115522904
2018-09-06,231.65,231.75,218.12,230.22,2097310000,23435751842
2018-09-05,286.05,288.16,232.33,232.33,2390390000,23646371777
2018-09-04,289.3,291.58,284.25,285.72,1554870000,29074743101
2018-09-03,295.18,295.59,287.43,289.26,1394490000,29428616901
2018-09-02,295.45,298.69,290.93,294.37,1321050000,29942718225
2018-09-01,283.5,301.14,283.5,295.34,1546630000,30035327410
2018-08-31,284.12,284.55,278.51,283.0,1411910000,28774922508
2018-08-30,289.75,291.24,275.21,284.11,1513100000,28881058148
2018-08-29,296.16,297.07,287.29,289.31,1474460000,29404459725
2018-08-28,286.65,297.4,283.57,296.5,1513350000,30128902937
2018-08-27,275.35,285.6,273.65,285.6,1406790000,29015874948
