time,ID,USD,USD,time,generation,color,is_fancy,is_exclusive,fancy_type,is_prestige,prestige_type,prestige_ranking,fancy_ranking,prestige_time_limit,enhanced_cattributes_eyes,enhanced_cattributes_pattern,enhanced_cattributes_body,enhanced_cattributes_mouth,enhanced_cattributes_colorprimary,enhanced_cattributes_colorsecondary,enhanced_cattributes_colortertiary,enhanced_cattributes_coloreyes,status_cooldown_index,status_is_ready,status_is_gestating,purrs_count,purrs_is_purred
gold,1009354,15,15,gold,False,False,,False,,,,,selkirk,thicccbrowz,spock,soserious,mauveover,skyblue,seafoam,gold,8,True,False,1,False,0,False
dahlia,1056481,12,12,dahlia,True,False,Glasswalker,False,,,232,,,,,,,,,,12,True,False,1,False,0,False
parakeet,1435351,4,4,parakeet,False,False,,False,,,,,happygokitty,ragdoll,serpent,rorschach,frozen,greymatter,lilac,frosting,2,True,False,2,False,0,False
mintgreen,1439645,3,3,mintgreen,False,False,,False,,,,,confuzzled,thicccbrowz,spangled,koladiviya,cinderella,egyptiankohl,kalahari,mintgreen,1,True,False,1,False,0,False
cyan,1423324,5,5,cyan,False,False,,False,,,,,totesbasic,serpent,chantilly,fangtastic,greymatter,egyptiankohl,frosting,cyan,2,True,False,1,False,0,False
chestnut,1421218,2,2,chestnut,False,False,,False,,,,,confuzzled,chantilly,asif,rascal,cottoncandy,padparadscha,cashewmilk,chestnut,1,True,False,1,False,0,False
doridnudibranch,1424689,5,5,doridnudibranch,False,False,,False,,,,,amur,chantilly,swarley,fangtastic,greymatter,royalpurple,frosting,doridnudibranch,2,True,False,1,False,0,False
limegreen,1420201,14,14,limegreen,True,False,Purrspero,False,,,4191,,,,,,,,,,8,True,False,1,False,0,False
sapphire,1006653,8,8,sapphire,False,False,,False,,,,,pouty,ragdoll,allyouneed,swarley,unicorn,mauveover,lemonade,sandalwood,7,True,False,0,False,0,False
sizzurp,1273199,7,7,sizzurp,False,False,,False,,,,,sphynx,sizzurp,thicccbrowz,totesbasic,soserious,mauveover,chocolate,peach,3,True,False,0,False,0,False
dahlia,201660,2,2,dahlia,False,False,,False,,,,,munchkin,pouty,amur,chronic,brownies,swampgreen,cashewmilk,dahlia,1,True,False,0,False,0,False
sapphire,1403849,5,5,sapphire,False,False,,False,,,,,himalayan,totesbasic,buzzed,fangtastic,cloudwhite,lemonade,icy,sapphire,5,True,False,4,False,0,False
olive,1359216,16,16,olive,False,False,,False,,,,,selkirk,olive,spock,saycheese,swarley,dragonwings,martian,scarlet,8,True,False,1,False,0,False
dahlia,1384613,11,11,dahlia,True,False,Al,False,,,214,,,,,,,,,,5,True,False,0,False,0,False
sizzurp,1403876,7,7,sizzurp,False,False,,False,,,,,sphynx,sizzurp,raisedbrow,totesbasic,pouty,shadowgrey,barkbrown,kittencream,3,True,False,0,False,0,False
thundergrey,195580,7,7,thundergrey,False,False,,False,,,,,crazy,totesbasic,happygokitty,chantilly,jacked,nachocheez,lemonade,purplehaze,3,True,False,0,False,0,False
sapphire,1330811,4,4,sapphire,False,False,,False,,,,,ragdoll,grim,sapphire,mauveover,swampgreen,icy,rascal,caffeine,2,True,False,1,False,0,False
mintgreen,783210,1,1,mintgreen,False,False,,False,,,,,mintgreen,pouty,spangled,wonky,cottoncandy,purplehaze,egyptiankohl,pixiebob,3,True,False,1,False,0,False
olive,687657,11,11,olive,False,False,,False,,,,,luckystripe,pouty,sass,dioscuri,highlander,mauveover,poisonberry,kittencream,5,True,False,0,False,0,False
coralsunrise,1369766,1,1,coralsunrise,False,False,,False,,,,,ragdoll,amur,serpent,coralsunrise,cottoncandy,sandalwood,egyptiankohl,wuvme,0,True,False,1,False,0,False
sizzurp,532691,8,8,sizzurp,False,False,,False,,,,,sizzurp,googly,totesbasic,soserious,persian,cottoncandy,swampgreen,belleblue,6,True,False,1,False,0,False
sizzurp,370525,4,4,sizzurp,False,False,,False,,,,,ragamuffin,sizzurp,crazy,calicool,pouty,cottoncandy,royalpurple,kittencream,4,True,False,1,False,0,False
coralsunrise,294899,5,5,coralsunrise,False,False,,False,,,,,selkirk,grim,ganado,coralsunrise,oldlace,azaleablush,egyptiankohl,wiley,2,True,False,1,False,0,False
limegreen,634629,6,6,limegreen,False,False,,False,,,,,ragamuffin,limegreen,otaku,spock,wasntme,cottoncandy,royalpurple,morningglory,5,True,False,0,False,0,False
sapphire,570798,9,9,sapphire,False,False,,False,,,,,simple,ragdoll,spangled,grim,sapphire,apricot,azaleablush,harbourfog,4,True,False,0,False,0,False
coralsunrise,648778,2,2,coralsunrise,False,False,,False,,,,,selkirk,chronic,coralsunrise,greymatter,azaleablush,egyptiankohl,wuvme,thunderstruck,1,True,False,0,False,0,False
coralsunrise,646289,2,2,coralsunrise,False,False,,False,,,,,selkirk,slyboots,ganado,coralsunrise,greymatter,purplehaze,egyptiankohl,starstruck,1,True,False,1,False,0,False
sapphire,648066,6,6,sapphire,False,False,,False,,,,,selkirk,calicool,happygokitty,sass,sapphire,cottoncandy,swampgreen,morningglory,3,True,False,1,False,0,False
sapphire,520796,1,1,sapphire,False,False,,False,,,,,simple,grim,sapphire,birman,greymatter,purplehaze,leopard,poisonberry,0,True,False,0,False,0,False
bubblegum,643149,15,15,bubblegum,True,False,DuCat,False,,,4214,,,,,,,,,,8,True,False,1,False,0,False
sapphire,640833,23,23,sapphire,False,False,,False,,,,,chartreux,soserious,hotrod,sapphire,bananacream,belleblue,egyptiankohl,wiley,11,True,False,1,False,0,False
mintgreen,275064,3,3,mintgreen,False,False,,False,,,,,mintgreen,otaku,birman,greymatter,apricot,morningglory,tiger,belch,1,True,False,0,False,0,False
mintgreen,626920,5,5,mintgreen,False,False,,False,,,,,munchkin,mintgreen,calicool,happygokitty,sass,onyx,swampgreen,bloodred,3,True,False,0,False,0,False
topaz,627357,4,4,topaz,False,False,,False,,,,,mainecoon,topaz,googly,spangled,grim,cloudwhite,sandalwood,safetyvest,2,True,False,1,False,0,False
topaz,564349,4,4,topaz,False,False,,False,,,,,munchkin,topaz,calicool,grim,wonky,oldlace,swampgreen,azaleablush,2,True,False,2,False,0,False
bubblegum,606101,3,3,bubblegum,False,False,,False,,,,,himalayan,bubblegum,googly,totesbasic,beard,mauveover,skyblue,granitegrey,3,True,False,1,False,0,False
gold,616746,9,9,gold,True,False,PussForProgress,False,,,872,,,,,,,,,,4,True,False,1,False,0,False
strawberry,520860,2,2,strawberry,False,False,,False,,,,,sphynx,strawberry,thicccbrowz,spock,gerbil,cottoncandy,royalpurple,sandalwood,7,True,False,4,False,0,False
mintgreen,640482,3,3,mintgreen,False,False,,False,,,,,ragamuffin,mintgreen,fabulous,spock,pouty,cloudwhite,chocolate,granitegrey,1,True,False,1,False,0,False
sizzurp,408339,17,17,sizzurp,False,False,,False,,,,,himalayan,sizzurp,crazy,totesbasic,happygokitty,shadowgrey,swampgreen,emeraldgreen,9,True,False,1,False,0,False
mintgreen,638867,19,19,mintgreen,False,False,,False,,,,,ragamuffin,mintgreen,simple,calicool,happygokitty,shadowgrey,coffee,kittencream,11,True,False,1,False,0,False
sapphire,71076,6,6,sapphire,False,False,,False,,,,,selkirk,raisedbrow,pouty,henna,sapphire,greymatter,wolfgrey,belleblue,3,True,False,2,False,0,False
sizzurp,28582,11,11,sizzurp,False,False,,False,,,,,ragamuffin,sizzurp,thicccbrowz,totesbasic,whixtensions,orangesoda,violet,kittencream,5,True,False,1,False,0,False
coralsunrise,635632,7,7,coralsunrise,False,False,,False,,,,,grim,birman,coralsunrise,shadowgrey,apricot,purplehaze,wiley,thunderstruck,3,True,False,0,False,0,False
mintgreen,633672,5,5,mintgreen,False,False,,False,,,,,cymric,mintgreen,thicccbrowz,totesbasic,saycheese,mauveover,chocolate,kittencream,2,True,False,1,False,0,False
topaz,636381,9,9,topaz,False,False,,False,,,,,selkirk,topaz,simple,saycheese,amur,mauveover,royalpurple,bloodred,4,True,False,1,False,0,False
gold,190512,15,15,gold,False,False,,False,,,,,sphynx,gold,crazy,totesbasic,gerbil,orangesoda,royalblue,kittencream,10,True,False,0,False,0,False
sizzurp,519917,1,1,sizzurp,False,False,,False,,,,,sphynx,sizzurp,happygokitty,spangled,wonky,greymatter,lemonade,sandalwood,11,True,False,2,False,0,False
sizzurp,350265,11,11,sizzurp,False,False,,False,,,,,cymric,sizzurp,fabulous,luckystripe,pouty,orangesoda,scarlet,kittencream,7,True,False,3,False,0,False
mintgreen,476227,3,3,mintgreen,False,False,,False,,,,,himalayan,mintgreen,googly,totesbasic,tongue,mauveover,chocolate,emeraldgreen,10,True,False,1,False,0,False
cyan,391093,3,3,cyan,False,False,,False,,,,,grim,wonky,apricot,purplehaze,bobtail,cyan,dragonfruit,thunderstruck,5,True,False,3,False,0,False
chestnut,215969,15,15,chestnut,False,False,,False,,,,,ragamuffin,chestnut,googly,totesbasic,saycheese,orangesoda,barkbrown,granitegrey,7,True,False,0,False,0,False
